key,text,english,notes,tag,checked,checked_by,date,google,chatgpt,gemini,glaude,bing
version,6.02,6.02,5.5,float,True,,,,,,,
pdf_title,ប្រវត្តិសាស្ត្រមនុស្សជាតិ អំឡុងពេល ៦០០០ឆ្នាំ,6000 years human history visualized,2026-02-12,text,False,,,,,,,
pdf_subject,ការកំណត់ពេលវេលារបស់មនុស្ស,Timeline of humankind,Timeline of humankind,text,False,,,,,,,
BCE,B.C.E.,B.C.E.,B.C.E.,B9,False,,,,,,,
CE,C.E.,C.E.,C.E.,B9,False,,,,,,,
month,ខែ,month,month,text,True,,,,,,,
months,ខែ,months,months,text,False,,,,,,,
day,ថ្ងៃ,day,day,text,False,,,,,,,
days,ថ្ងៃ,days,days,text,False,,,,,,,
to,ទៅ,to,to,text,False,,,,,,,
Deluge,ទឹកជំនន់,Deluge,Deluge,text,False,,,,,,,
moses2,១៥៩៣ ដល់ ១៤៧៣ មុនគ.ស. - ១២០ ឆ្នាំ។,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years,text,False,,,,,,,
temple1,ខែ​ណែសាន ឆ្នាំ ១៥១៣ មុន គ.ស. ទៅ ស៊ីវ ១០៣៤ មុនគ។,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,text,False,,,,,,,
69weeks,ព្រះ​យេស៊ូ​បាន​ធ្វើ​បុណ្យ​ជ្រមុជ​ទឹក​នៅ​រដូវ​ស្លឹក​ឈើ​ជ្រុះ ឆ្នាំ ២៩ គ.ស.,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E.,text,False,,,,,,,
year,ឆ្នាំ,year,year,text,False,,,,,,,
years,ឆ្នាំ,years,years,text,False,,,,,,,
years_age,ឆ្នាំ,years,years,text,False,,,,,,,
age_kings, , , ,text,False,,,,,,,
wilderness,អ៊ីស្រាអែលនៅទីរហោស្ថានពីឆ្នាំ ១៥១៣ ដល់ ១៤៧៣ មុនគ. - ៤០ ឆ្នាំ។,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,text,False,,,,,,,
timespan_judges,១៤៧៣ ដល់ ១១១៧ មុនគ.ស -- ៣៥៦ឆ្នាំ,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years,text,False,,,,,,,
timespan_judges2,ចន្លោះពេលវេលានៃចៅក្រម,Time of the judges,Time of the judges,text,False,,,,,,,
temple2,៤៧៩ ឆ្នាំ​រហូត​ដល់​ការ​សាងសង់​ព្រះវិហារ​បរិសុទ្ធ — ពង្សាវតារក្សត្រ​ទី ១៦:១,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,text,False,,,,,,,
69weeks2,៦៩ សប្តាហ៍ដល់ព្រះមេស្ស៊ី - ដានីយ៉ែល ៩: ២៥,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25,text,False,,,,,,,
jesus_service,៣.៥ ឆ្នាំ​នៃ​ការ​បម្រើ​ព្រះ​យេស៊ូ ត្រូវ​ប្រហារ​ជីវិត​ថ្ងៃ​ទី ១៤ ខែ​ណែសាន ឆ្នាំ ៣៣ គ.ស.,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",text,False,,,,,,,
jesus_life,ព្រះយេស៊ូវ​បាន​ប្រសូត​នៅ​ឆ្នាំ ២ មុនគ.ស.,Jesus born 2 B.C.E.,Jesus born 2 B.C.E.,text,False,,,,,,,
exile,៦០៧ ដល់ ៥៣៧ មុនគ.ស. — ៧០ ឆ្នាំ (យេរេមា ២៥:១១),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),text,False,,,,,,,
exile2,និរទេសខ្លួន,Exile,Exile,text,False,,,,,,,
7times2,៧ ដង – ២៥២០ ឆ្នាំ​ដល់​រាជាណាចក្រ​មេស្ស៊ី ឆ្នាំ ១៩១៤ គ.ស. (ដានីយ៉ែល ៤:២៣),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),text,False,,,,,,,
ww1,សង្គ្រាមលោកលើកទី ១ - ១៩១៤-១៩១៨ គ.,World War I – 1914–1918,World War I – 1914–1918 C.E.,text,False,,,,,,,
ww2,សង្គ្រាមលោកលើកទី ២ - ១៩៣៩-១៩៤៥ គ.,World War II – 1939–1945,World War II – 1939–1945 C.E.,text,False,,,,,,,
30_year_war,សង្គ្រាមសាមសិបឆ្នាំនៅអឺរ៉ុប ១៦១៨-១៦៤៨,Thirty Years' War in Europe 1618-1648,Thirty Years' War in Europe 1618-1648,text,False,,,,,,,
joshua,១១០ ឆ្នាំ។,110 years,110 years,text,False,,,,,,,
caleb,ជាង ៨៥ ឆ្នាំ។,more than 85 years,more than 85 years,text,False,,,,,,,
missionary1,ដំណើរផ្សងព្រេងដំបូងរបស់ប៉ុល គ. ៤៧–៤៨ គ.ស. ជាមួយ​បាណាបាស និង​យ៉ូហាន ម៉ាកុស,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",text,False,,,,,,,
circumcision,បញ្ហាកាត់ស្បែកនៅក្រុងអាន់ទីយ៉ូក សន្និសីទនៅទីក្រុងយេរូសាឡឹម គ. ៤៩ គ.ស.,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",text,False,,,,,,,
missionary2,ដំណើរផ្សងព្រេងទីពីរ គ. ៤៩-៥២ គ.ស. ជាមួយស៊ីឡាស (ស៊ីលវ៉ានុស),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),text,False,,,,,,,
missionary3,ដំណើរផ្សងព្រេងទីបី គ. ៥២-៥៦ គ.ស.,Third Missionary Journey c. 52-56 C.E.,Third Missionary Journey c. 52-56 C.E.,text,False,,,,,,,
caesarea,ប៉ូល​ដែល​ជាប់​ឃុំឃាំង​នៅ​សេសារា គ. ៥៦-៥៨ គ.ស.,Paul in custody in Caesarea c. 56-58 C.E.,Paul in custody in Caesarea c. 56-58 C.E.,text,False,,,,,,,
rome1,ការជាប់គុកដំបូងរបស់ប៉ូលនៅទីក្រុងរ៉ូម គ. ៥៩-៦១ គ.ស.,Paul’s first imprisonment in Rome c. 59-61 C.E.,Paul’s first imprisonment in Rome c. 59-61 C.E.,text,False,,,,,,,
rome2,ការជាប់គុកលើកទីពីររបស់ប៉ូលនៅទីក្រុងរ៉ូម គ. ៦៥ គ.ស. ធីម៉ូថេទី២ បានសរសេរថា ប៉ុលបានប្រហារជីវិត,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed","Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed",text,False,,,,,,,
event_exodus,និក្ខមនំ​ចេញ​ពី​ប្រទេស​អេស៊ីប​នៅ​ថ្ងៃ​ទី ១៤ ខែ​ណែសាន ឆ្នាំ ១៥១៣ មុន គ.ស.,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.","Exodus from Egypt on Nisan 14th, 1513 B.C.E.",text,False,,,,,,,
event_division_kingdom,ផ្នែកនៃអ៊ីស្រាអែល ៩៩៧ មុនគ.ស,Division of Israel 997 BCE,Division of Israel 997 BCE,text,False,,,,,,,
event_destruction_samaria,ការបំផ្លិចបំផ្លាញស្រុកសាម៉ារី ៧៤០ មុនគ.ស. ដោយ អាស្ស៊ីរី,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False,,,,,,,
